fighter_id,fighter_name,wikipedia_name,division,is_current_champion,is_former_champion,was_interim,first_title_date,last_title_date,reign_count,match_confidence
8bdac25ce0bb874d,Ronda Rousey,ronda rousey,s Bantamweight,False,True,False,,,1,100.0%
634e2fb70bde3fd5,Holly Holm,holly holm,s Bantamweight,False,True,False,,,1,100.0%
b96619b3acd7d9da,Miesha Tate,miesha tate,s Bantamweight,False,True,False,,,1,100.0%
80fa8218c99f9c58,Amanda Nunes,amanda nunes,s Bantamweight,False,True,False,,,2,100.0%
3253b16d38ae087d,Julianna Pena,julianna pena,s Bantamweight,False,True,False,,,2,100.0%
fc169c387b4b465d,Raquel Pennington,raquel pennington,s Bantamweight,False,True,False,,,1,100.0%
1af1170ed937cba7,Kayla Harrison,kayla harrison,s Bantamweight,True,False,False,,,1,100.0%
1de9ad94de18eeaf,Nicco Montano,nicco montano,s Flyweight,False,True,False,,,1,100.0%
132deb59abae64b1,Valentina Shevchenko,valentina shevchenko,s Flyweight,True,False,False,,,2,100.0%
e8b731feff72294b,Alexa Grasso,alexa grasso,s Flyweight,False,True,False,,,1,100.0%
3d6749c4267da18f,Joanna Jedrzejczyk,joanna jedrzejczyk,s Strawweight,False,True,False,,,1,100.0%
47b63240018d5d86,Rose Namajunas,rose namajunas,s Strawweight,False,True,False,,,2,100.0%
1ebe20ebbfa15e29,Zhang Weili,zhang weili,s Strawweight,False,True,False,,,2,100.0%
7447e9f28508106a,Mackenzie Dern,mackenzie dern,s Strawweight,True,False,False,,,1,100.0%
63b65af1c5cb02cb,Ken Shamrock,ken shamrock,Superfight,False,True,False,,,1,100.0%
1d239d571e342453,Germaine de Randamie,germaine de randamie,s Featherweight,False,True,False,,,1,100.0%
